1, Apple Highlights Useful Apps, Accessibility Tips and More for Autism Acceptance Day, Juli Clover, Today is Autism Acceptance Day, and as it has done in the past, Apple is recognizing the occasion by highlighting top apps, accessibility tips, and education resources, while also sharing art created by individuals on the spectrum. In the Today section of the…, 2020-04-02T21:36:17Z, https://www.macrumors.com/2020/04/02/apple-autism-acceptance-day/
2, Cool, Creative Video Games For Your Kids To Play While Social Distancing, Keza MacDonald, Hi! I’m Keza MacDonald, a video games journalist of 15 years’ experience with two small kids and a teen stepkid. I’m currently The Guardian’s games editor and I also run a podcast for gamer parents called Spawnpoint (if you play games yourself, give it a list…, 2020-03-20T20:30:00Z, https://kotaku.com/cool-creative-video-games-for-your-kids-to-play-while-1842426749
3, Amy Schumer changes son Gene Attell's name after realizing first attempt sounded NSFW, USA TODAY, Charles Trepany, USA TODAY, Amy Schumer changed the name of her son, formerly known as Gene Attell Fischer, after realizing the name could easily be misinterpreted as NSFW., 2020-04-14T22:11:10Z, https://www.usatoday.com/story/entertainment/celebrities/2020/04/14/amy-schumer-changes-son-gene-attells-name-hilarious-reason/2992664001/
4, Tau reduction prevents autism, Hurtley, S. M., Autism Autism is a highly prevalent neurodevelopmental disorder associated with impaired sociality and communication and repetitive behaviors. So far, available treatments offer little benefit. Tai et al. established a link between the neurodegeneration-assoc…, 2020-04-09T17:41:43Z, https://science.sciencemag.org/content/368/6487/150.6.full
5, Special-Education Teachers Are Fighting to Make This Work, Faith Hill, Some students rely on schools for the personal, hands-on attention of specialists. What do they do now?, 2020-04-18T10:00:00Z, https://www.theatlantic.com/education/archive/2020/04/special-education-goes-remote-covid-19-pandemic/610231/
6, A Disgraced Ex-Doctor Says He's Behind the Use of Ketamine to 'Cure' a Child with Autism, Anna Merlan, Tim Marchman, Roby Mitchell claims that ketamine can cure autism symptoms—and has been boasting on social media that he's persuaded a family to try it on their six-year-old., 2020-04-09T14:00:00Z, https://www.vice.com/en_us/article/4ag9xb/a-disgraced-ex-doctor-says-hes-behind-the-use-of-ketamine-to-cure-a-child-with-autism
7, Map clusters of diseases to tackle multimorbidity, Christopher J. M. Whitty, Fiona M. Watt, Many people now have two or more diseases at once. It is time to rethink funding, research, publishing, training and treatment for this growing problem., 2020-03-24T00:00:00Z, https://www.nature.com/articles/d41586-020-00837-4?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+nature%2Frss%2Fcurrent+%28Nature+-+Issue%29
8, Map clusters of diseases to tackle multimorbidity, Christopher J. M. Whitty, Fiona M. Watt, Many people now have two or more diseases at once. It is time to rethink funding, research, publishing, training and treatment for this growing problem., 2020-03-24T00:00:00Z, https://www.nature.com/articles/d41586-020-00837-4
9, Apple announces App Store initiative for Autism Acceptance Month, Stephen Warwick, Thursday, April 2 is World Autism Awareness Day. What you need to know Apple has announced a brand new collection of apps to help the parents of children with autism on its App Store. That's because today is World Autism Awareness Day, and April is Autism acc…, 2020-04-02T13:14:39Z, https://www.imore.com/apple-features-apps-help-manage-autism-during-lockdown
10, New magnetic brain stim shows promise for severe depression, Mandy Erickson-Stanford, A new form of magnetic brain stimulation offered quick relief for symptoms of severe depression in 90% of participants in a small study., 2020-04-07T14:55:47Z, https://www.futurity.org/magnetic-brain-stimulation-severe-depression-2328742-2/
11, “When Something’s Wrong, It’s Really Wrong” – Autism Under Lockdown, Naoise Dolan, written by Naoise Dolan, I’m a novelist from Dublin and before coronavirus, all was in flux for me. I’d been writing full-time since signing a book deal a year ago (my debut Exciting Times is out this month, thank you for asking). Because of the promotional commitments this brings, I…, 2020-04-17T15:13:58Z, https://www.refinery29.com/en-ca/autism-coronavirus-lockdown
12, Exceptional Minds Training Academy Bolsters Digital Arts on the Autism Spectrum, malinasaval, “Presumption of competence.” This is the catchphrase and underlying philosophy of the work that Benjamin Maixner does as director of programs at Exceptional Minds, a not-for-profit professional training academy and studio designed to prepare individuals on th…, 2020-04-17T17:00:02Z, https://variety.com/2020/film/spotlight/exceptional-minds-training-academy-digital-artists-autism-spectrum-1234580533/
